"HCDepletedMatrix"	"rn"
"Root101"	1.09354060039667	"Root101"
"Root1280"	1.64665003336414	"Root1280"
"Root170"	-1.90649175543442	"Root170"
"Root189"	-1.26164465926937	"Root189"
"Root219"	-3.43338688920072	"Root219"
"Root265"	-1.60370137615884	"Root265"
"Root267"	-1.02826261984981	"Root267"
"Root318D1"	-2.40122126895118	"Root318D1"
"Root322"	1.29397835132506	"Root322"
"Root329"	-2.50801987181503	"Root329"
"Root344"	1.29255528794303	"Root344"
"Root487D2Y"	-1.62357059611002	"Root487D2Y"
"Root552"	-1.14861366121659	"Root552"
"Root60"	1.01024716394883	"Root60"
"Root61"	1.55180760450985	"Root61"
"Root627"	-1.11096022699224	"Root627"
"Root635"	-1.02966151153693	"Root635"
"Root682"	1.01615952948309	"Root682"
"Root70"	-2.65121725898198	"Root70"
"Root710"	-1.34700728704251	"Root710"
"Root9"	-2.61266349299187	"Root9"
"Soil538"	1.40902608841511	"Soil538"
"Soil761"	1.05167527065413	"Soil761"
"Soil773"	1.81470071645778	"Soil773"
"Soil805"	-1.48062317081474	"Soil805"
