	HCDepletedMatrix	HCDepletedRoot	HSDepletedMatrix	HSDepletedRoot
Root101	1.0935406004	NA	NA	NA
Root1280	1.6466500334	-1.8466951226	NA	-1.5493271899
Root151	NA	NA	NA	1.0146686703
Root16D2	NA	NA	1.3367188031	NA
Root170	-1.9064917554	-1.9741913487	NA	NA
Root179	NA	NA	2.1871466601	NA
Root189	-1.2616446593	NA	1.0721847188	NA
Root219	-3.4333868892	NA	3.225375961	1.5793326454
Root265	-1.6037013762	NA	NA	NA
Root267	-1.0282626198	NA	NA	NA
Root318D1	-2.401221269	NA	NA	NA
Root322	1.2939783513	NA	NA	NA
Root329	-2.5080198718	-2.9817966854	NA	NA
Root344	1.2925552879	NA	NA	NA
Root369	NA	2.5335414965	NA	NA
Root381	NA	-1.2385638757	NA	NA
Root487D2Y	-1.6235705961	NA	NA	NA
Root552	-1.1486136612	NA	NA	NA
Root60	1.0102471639	NA	3.7416504942	4.9691287489
Root61	1.5518076045	NA	NA	NA
Root627	-1.110960227	NA	NA	NA
Root635	-1.0296615115	NA	NA	NA
Root682	1.0161595295	NA	NA	NA
Root70	-2.651217259	NA	NA	NA
Root700	NA	NA	1.3833884494	NA
Root710	-1.347007287	NA	NA	NA
Root76	NA	NA	NA	-1.0694857312
Root9	-2.612663493	-3.3124360446	NA	NA
Soil538	1.4090260884	NA	NA	NA
Soil761	1.0516752707	NA	NA	NA
Soil773	1.8147007165	NA	NA	NA
Soil805	-1.4806231708	NA	NA	2.1750295417
