	input1	input2	input3	input4	input5	input6	matrixf21	matrixf11	matrixf12	matrixf13	matrixf14	matrixf21D	matrixf22	matrixf23	matrixf24	matrixf31	matrixf32	matrixf33	matrixf34	rootf11	rootf12	rootf13	rootf14	rootf21	rootf22	rootf23	rootf24	rootf31	rootf32	rootf33	rootf34	matrixhc11	matrixhc12	matrixhc13	matrixhc14	matrixhc21	matrixhc22	matrixhc23	matrixhc24	matrixhc31	matrixhc32	matrixhc33	matrixhc34	roothc11	roothc12	roothc13	roothc14	roothc21	roothc23	roothc24	roothc31	roothc32	roothc33	roothc34	matrixhs11	matrixhs12	matrixhs13	matrixhs14	matrixhs21	matrixhs22	matrixhs23	matrixhs24	matrixhs31	matrixhs32	matrixhs33	matrixhs34	rooths11	rooths12	rooths13	rooths14	rooths21	rooths22	rooths23	rooths24	rooths31	rooths32	rooths33	rooths34
Root558	3056	2379	1758	70	1099	1123	469	7	27	7	2	31	21	14	43	8	22	14	11	32	29	12	38	43	71	41	54	0	59	52	63	62	47	9	2	4	12	43	18	88	72	24	50	89	99	83	104	126	77	108	103	85	214	141	33	24	297	30	46	21	65	37	82	0	90	76	114	91	14	89	133	208	62	122	122	54	159	124
Root1252	2196	1796	1319	42	847	854	24	4	5	4	1	4	11	8	11	6	9	4	3	2	3	4	24	4	6	1	9	0	10	4	7	15	30	10	6	6	31	12	1	16	18	14	14	19	18	12	8	15	25	27	22	29	22	26	4	16	90	11	22	10	30	18	16	0	22	15	19	16	4	11	16	26	7	16	9	10	9	16
Root16D2	228	166	193	2	107	102	171	0	0	2	1	6	0	1	0	1	3	1	0	32	3	14	24	8	23	2	8	1	9	13	2	13	2	1	0	2	0	6	2	0	13	2	8	516	120	2	31	56	193	915	205	58	7	40	4	0	30	0	0	0	0	3	2	0	0	0	93	5	0	22	24	69	44	505	3	2	3	3
Soil810	360	287	216	5	140	152	39	4	10	6	4	12	19	10	12	3	5	7	16	6	8	13	6	8	15	10	13	0	5	5	7	13	14	4	4	5	9	7	5	5	10	8	5	26	26	8	18	20	78	35	17	22	16	16	6	17	81	18	54	47	21	19	24	0	17	32	30	32	6	15	38	57	26	21	9	12	24	25
Root76	403	389	306	8	182	210	248	8	2	4	2	37	14	16	13	15	49	4	7	20	20	7	23	35	29	29	36	0	53	59	25	15	10	9	1	2	7	11	7	6	41	13	12	51	26	105	97	94	80	54	68	46	83	45	68	43	696	12	59	18	55	54	118	0	74	95	473	250	12	335	128	167	101	229	156	132	285	192
Root482	1403	1352	1051	38	633	566	99	6	7	3	3	10	14	16	21	5	25	20	13	14	14	14	9	24	19	23	18	0	25	20	28	34	33	9	5	6	9	11	7	8	18	20	25	76	62	62	28	138	71	66	54	54	147	41	8	20	50	20	28	16	31	11	17	0	23	28	24	19	4	10	43	103	39	55	58	21	77	45
Root219	1929	1661	1351	37	845	750	1155	60	8	61	33	124	149	104	255	143	226	19	13	130	125	100	117	163	343	204	264	6	262	74	166	2470	6924	489	145	341	479	704	555	2426	954	149	1459	714	589	459	572	829	909	763	641	427	564	715	34	71	874	12	40	8	37	12	11	0	33	16	114	145	19	106	223	740	243	180	55	144	98	144
Root137	226	196	170	1	78	104	461	5	19	2	0	12	20	9	26	18	18	23	13	37	88	78	130	68	91	54	90	2	122	144	78	25	301	15	2	1	13	32	8	31	38	53	17	295	68	203	153	86	244	197	375	242	464	299	17	21	356	26	20	23	26	52	43	0	53	54	276	357	14	149	154	207	85	171	220	153	282	214
Root151	317	284	220	11	112	122	66	4	11	9	3	4	32	1	7	11	4	8	23	8	21	7	10	3	8	11	36	0	9	10	8	9	5	8	4	4	4	30	36	1	10	7	2	46	53	24	11	18	50	46	20	29	16	33	8	20	42	30	20	9	24	8	25	0	23	30	10	4	5	17	5	27	8	9	6	1	5	7
Root322	111	98	106	5	65	48	378	13	63	19	11	30	70	24	38	31	36	31	30	61	117	157	149	70	78	73	78	1	119	186	214	10	6	21	1	4	20	13	5	6	29	60	27	151	80	105	115	116	459	102	242	279	405	281	18	43	316	61	94	71	68	65	83	0	91	124	369	242	20	185	187	374	253	343	375	277	476	391
