	config1	config2	config3
input1	input	input	input
input2	input	input	input
input3	input	input	input
input4	input	input	input
input5	input	input	input
input6	input	input	input
matrixf11	matrix	afull	matrix-full
matrixf12	matrix	afull	matrix-full
matrixf13	matrix	afull	matrix-full
matrixf14	matrix	afull	matrix-full
matrixf21	matrix	afull	matrix-full
matrixf21D	matrix	afull	matrix-full
matrixf22	matrix	afull	matrix-full
matrixf23	matrix	afull	matrix-full
matrixf24	matrix	afull	matrix-full
matrixf31	matrix	afull	matrix-full
matrixf32	matrix	afull	matrix-full
matrixf33	matrix	afull	matrix-full
matrixf34	matrix	afull	matrix-full
matrixhc11	matrix	hc	matrix-hc
matrixhc12	matrix	hc	matrix-hc
matrixhc13	matrix	hc	matrix-hc
matrixhc14	matrix	hc	matrix-hc
matrixhc21	matrix	hc	matrix-hc
matrixhc22	matrix	hc	matrix-hc
matrixhc23	matrix	hc	matrix-hc
matrixhc24	matrix	hc	matrix-hc
matrixhc31	matrix	hc	matrix-hc
matrixhc32	matrix	hc	matrix-hc
matrixhc33	matrix	hc	matrix-hc
matrixhc34	matrix	hc	matrix-hc
matrixhs11	matrix	hs	matrix-hs
matrixhs12	matrix	hs	matrix-hs
matrixhs13	matrix	hs	matrix-hs
matrixhs14	matrix	hs	matrix-hs
matrixhs21	matrix	hs	matrix-hs
matrixhs22	matrix	hs	matrix-hs
matrixhs23	matrix	hs	matrix-hs
matrixhs24	matrix	hs	matrix-hs
matrixhs31	matrix	hs	matrix-hs
matrixhs32	matrix	hs	matrix-hs
matrixhs33	matrix	hs	matrix-hs
matrixhs34	matrix	hs	matrix-hs
rootf11	root	afull	root-full
rootf12	root	afull	root-full
rootf13	root	afull	root-full
rootf14	root	afull	root-full
rootf21	root	afull	root-full
rootf22	root	afull	root-full
rootf23	root	afull	root-full
rootf24	root	afull	root-full
rootf31	root	afull	root-full
rootf32	root	afull	root-full
rootf33	root	afull	root-full
rootf34	root	afull	root-full
roothc11	root	hc	root-hc
roothc12	root	hc	root-hc
roothc13	root	hc	root-hc
roothc14	root	hc	root-hc
roothc21	root	hc	root-hc
roothc23	root	hc	root-hc
roothc24	root	hc	root-hc
roothc31	root	hc	root-hc
roothc32	root	hc	root-hc
roothc33	root	hc	root-hc
roothc34	root	hc	root-hc
rooths11	root	hs	root-hs
rooths12	root	hs	root-hs
rooths13	root	hs	root-hs
rooths14	root	hs	root-hs
rooths21	root	hs	root-hs
rooths22	root	hs	root-hs
rooths23	root	hs	root-hs
rooths24	root	hs	root-hs
rooths31	root	hs	root-hs
rooths32	root	hs	root-hs
rooths33	root	hs	root-hs
rooths34	root	hs	root-hs
