	Kingdom	Phylum	Class	Order	Family	Genus	tag
Root137	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Cellulomonadaceae	Cellulomonas	Back
Root101	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	Back
Root456	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	na	Back
Soil728	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	Back
Soil803	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	Back
Soil810	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	na	Back
Soil756	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	Sens
Soil729	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	na	Sens
Soil748	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Intrasporangiaceae	Janibacter	Sens
Root112D2	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	na	Back
Root180	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	na	Back
Root227	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	na	Back
Root322	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Back
Root332	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	na	Back
Root4	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	Back
Root53	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Back
Root60	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	na	Back
Root61	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Microbacterium	Back
Root81	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	Back
Soil535	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	Agromyces	Back
Soil809	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Microbacteriaceae	na	Sens
Soil736	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Back
Soil761	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Back
Soil762	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Back
Soil763	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Back
Soil764	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Back
Soil782	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae	Arthrobacter	Back
Root135	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Back
Root265	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Back
Soil538	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Mycobacteriaceae	Mycobacterium	Back
Root136	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardiaceae	Nocardia	Back
Root122	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Back
Root151	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Back
Root190	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Back
Root224	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Back
Root472D3	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	na	Back
Root682	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	na	Back
Root79	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Back
Soil797	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Back
Soil805	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Nocardioides	Back
Root344	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Nocardioidaceae	Aeromicrobium	Sens
Root22	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	na	Back
Root918	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Promicromonosporaceae	na	Back
Root107	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	na	Back
Root1304	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Back
Root1310	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Back
Root264	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Back
Root369	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Back
Root431	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Back
Root63	Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	Streptomycetaceae	Streptomyces	Back
Root186	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Back
Root420	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Back
Root901	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Back
Root935	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Flavobacterium	Back
Root131	Bacteria	Firmicutes	Bacilli	Bacillales	Bacillaceae	Bacillus	Back
