"HCDepletedShaking"	"rn"
"Root1252"	-1.90639560536751	"Root1252"
"Root1304"	-1.16438644160971	"Root1304"
"Root131"	1.09255665203561	"Root131"
"Root170"	-2.22220155523162	"Root170"
"Root219"	-2.56765677831021	"Root219"
"Root239"	3.77421278805058	"Root239"
"Root267"	-1.43787758619983	"Root267"
"Root318D1"	-2.08504915030414	"Root318D1"
"Root329"	-1.05461493916967	"Root329"
"Root411"	-3.05729720320012	"Root411"
"Root61"	-1.12675343813334	"Root61"
"Root63"	3.40687940667169	"Root63"
"Root690"	-2.37045350476369	"Root690"
"Root70"	-1.07324473432206	"Root70"
"Root83"	-1.34907047517346	"Root83"
"Root9"	-4.31090030498009	"Root9"
"Soil772"	-1.11465492876498	"Soil772"
"Soil773"	-2.39769558168661	"Soil773"
