"HCDepletedStanding"	"rn"
"Root1280"	-2.69696047763894	"Root1280"
"Root170"	-2.54823580959804	"Root170"
"Root219"	-3.55351503732589	"Root219"
"Root22"	1.64000877781838	"Root22"
"Root318D1"	-1.07226512174903	"Root318D1"
"Root322"	-3.21059094389145	"Root322"
"Root329"	4.58736672920518	"Root329"
"Root411"	-5.38747703225474	"Root411"
"Root491"	1.15294592365574	"Root491"
"Root60"	-1.03313872472587	"Root60"
"Root70"	-2.51388788209625	"Root70"
"Root83"	-1.39468448379859	"Root83"
"Root9"	-8.33346407559895	"Root9"
"Root918"	1.31731789848342	"Root918"
"Soil773"	-3.59246611667029	"Soil773"
"Soil809"	-1.06715803776419	"Soil809"
