	DepExp-input-1-A	DepExp-input-1-B	DepExp-input-2-A	DepExp-input-2-B	DepExp-input-3-A	DepExp-input-3-B	DepExp-Str-TSB-F-1-A	DepExp-Str-TSB-F-1-B	DepExp-Str-TSB-F-2-A	DepExp-Str-TSB-F-2-B	DepExp-Str-TSB-F-3-A	DepExp-Str-TSB-F-3-B	DepExp-Unstr-TSB-F-1-A	DepExp-Unstr-TSB-F-1-B	DepExp-Unstr-TSB-F-2-A	DepExp-Unstr-TSB-F-2-B	DepExp-Unstr-TSB-F-3-A	DepExp-Unstr-TSB-F-3-B	DepExp-Str-TSB-hc-1-A	DepExp-Str-TSB-hc-1-B	DepExp-Str-TSB-hc-2-A	DepExp-Str-TSB-hc-2-B	DepExp-Str-TSB-hc-3-A	DepExp-Str-TSB-hc-3-B	DepExp-Unstr-TSB-hc-1-A	DepExp-Unstr-TSB-hc-1-B	DepExp-Unstr-TSB-hc-2-A	DepExp-Unstr-TSB-hc-2-B	DepExp-Unstr-TSB-hc-3-A	DepExp-Unstr-TSB-hc-3-B	DepExp-Str-TSB-hs-1-A	DepExp-Str-TSB-hs-1-B	DepExp-Str-TSB-hs-2-A	DepExp-Str-TSB-hs-2-B	DepExp-Str-TSB-hs-3-A	DepExp-Str-TSB-hs-3-B	DepExp-Unstr-TSB-hs-1-A	DepExp-Unstr-TSB-hs-1-B	DepExp-Unstr-TSB-hs-2-A	DepExp-Unstr-TSB-hs-2-B	DepExp-Unstr-TSB-hs-3-A	DepExp-Unstr-TSB-hs-3-B
Root100	8	3	1	3	7	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root101	763	866	447	614	448	613	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
Root107	118	126	100	92	154	137	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	1	3	1	0	1	0	0	0	0	0	0	1	1	1	1	0	0	1
Root112D2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1203	360	295	206	213	310	274	0	1	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0
Root1212	247	212	208	229	241	228	0	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
Root1217	23	18	12	9	11	12	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	0
Root122	17	24	32	22	21	34	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root1220	20	9	16	10	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Root123D2	42	40	41	34	24	28	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
Root1252	1097	1040	782	797	860	796	4	2	2	0	0	0	18	11	15	23	9	9	0	1	0	0	1	2	69	64	16	12	65	56	0	1	0	0	1	0	14	14	10	10	18	18
Root1277	138	176	102	104	126	108	0	0	0	1	0	0	1	1	1	0	0	1	1	0	0	1	0	1	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	2
Root1280	19	18	4	8	19	23	108	92	66	60	157	153	192	211	164	209	135	117	599	638	758	836	529	635	378	428	50	40	326	385	66	68	84	103	71	87	176	173	214	242	188	192
Root1304	72	67	58	66	105	103	0	0	0	0	0	0	1	3	7	4	1	6	0	2	0	0	0	0	23	13	1	2	6	7	0	0	0	1	0	0	4	5	4	3	0	2
