	config1	config2	config3	config4	config5	config6	config7
DepExp.input.1.A	input	input	input	input	input	input	input.1
DepExp.input.1.B	input	input	input	input	input	input	input.1
DepExp.input.2.A	input	input	input	input	input	input	input.2
DepExp.input.2.B	input	input	input	input	input	input	input.2
DepExp.input.3.A	input	input	input	input	input	input	input.3
DepExp.input.3.B	input	input	input	input	input	input	input.3
DepExp.Str.TSB.F.1.A	lqd	afull	tsb.afull	str.afull	strtsb	str.tsb.afull	str.tsb.full1
DepExp.Str.TSB.F.1.B	lqd	afull	tsb.afull	str.afull	strtsb	str.tsb.afull	str.tsb.full1
DepExp.Str.TSB.F.2.A	lqd	afull	tsb.afull	str.afull	strtsb	str.tsb.afull	str.tsb.full2
DepExp.Str.TSB.F.2.B	lqd	afull	tsb.afull	str.afull	strtsb	str.tsb.afull	str.tsb.full2
DepExp.Str.TSB.F.3.A	lqd	afull	tsb.afull	str.afull	strtsb	str.tsb.afull	str.tsb.full3
DepExp.Str.TSB.F.3.B	lqd	afull	tsb.afull	str.afull	strtsb	str.tsb.afull	str.tsb.full3
DepExp.Unstr.TSB.F.1.A	lqd	afull	tsb.afull	unstr.afull	unstrtsb	unstr.tsb.afull	unstr.tsb.full1
DepExp.Unstr.TSB.F.1.B	lqd	afull	tsb.afull	unstr.afull	unstrtsb	unstr.tsb.afull	unstr.tsb.full1
DepExp.Unstr.TSB.F.2.A	lqd	afull	tsb.afull	unstr.afull	unstrtsb	unstr.tsb.afull	unstr.tsb.full2
DepExp.Unstr.TSB.F.2.B	lqd	afull	tsb.afull	unstr.afull	unstrtsb	unstr.tsb.afull	unstr.tsb.full2
DepExp.Unstr.TSB.F.3.A	lqd	afull	tsb.afull	unstr.afull	unstrtsb	unstr.tsb.afull	unstr.tsb.full3
DepExp.Unstr.TSB.F.3.B	lqd	afull	tsb.afull	unstr.afull	unstrtsb	unstr.tsb.afull	unstr.tsb.full3
DepExp.Str.TSB.hs.1.A	lqd	hs	tsb.hs	str.hs	strtsb	str.tsb.hs	str.tsb.cc1
DepExp.Str.TSB.hs.1.B	lqd	hs	tsb.hs	str.hs	strtsb	str.tsb.hs	str.tsb.cc1
DepExp.Str.TSB.hs.2.A	lqd	hs	tsb.hs	str.hs	strtsb	str.tsb.hs	str.tsb.cc2
DepExp.Str.TSB.hs.2.B	lqd	hs	tsb.hs	str.hs	strtsb	str.tsb.hs	str.tsb.cc2
DepExp.Str.TSB.hs.3.A	lqd	hs	tsb.hs	str.hs	strtsb	str.tsb.hs	str.tsb.cc3
DepExp.Str.TSB.hs.3.B	lqd	hs	tsb.hs	str.hs	strtsb	str.tsb.hs	str.tsb.cc3
DepExp.Unstr.TSB.hs.1.A	lqd	hs	tsb.hs	unstr.hs	unstrtsb	unstr.tsb.hs	unstr.tsb.cc1
DepExp.Unstr.TSB.hs.1.B	lqd	hs	tsb.hs	unstr.hs	unstrtsb	unstr.tsb.hs	unstr.tsb.cc1
DepExp.Unstr.TSB.hs.2.A	lqd	hs	tsb.hs	unstr.hs	unstrtsb	unstr.tsb.hs	unstr.tsb.cc2
DepExp.Unstr.TSB.hs.2.B	lqd	hs	tsb.hs	unstr.hs	unstrtsb	unstr.tsb.hs	unstr.tsb.cc2
DepExp.Unstr.TSB.hs.3.A	lqd	hs	tsb.hs	unstr.hs	unstrtsb	unstr.tsb.hs	unstr.tsb.cc3
DepExp.Unstr.TSB.hs.3.B	lqd	hs	tsb.hs	unstr.hs	unstrtsb	unstr.tsb.hs	unstr.tsb.cc3
DepExp.Str.TSB.hc.1.A	lqd	hc	tsb.hc	str.hc	strtsb	str.tsb.hc	str.tsb.cs1
DepExp.Str.TSB.hc.1.B	lqd	hc	tsb.hc	str.hc	strtsb	str.tsb.hc	str.tsb.cs1
DepExp.Str.TSB.hc.2.A	lqd	hc	tsb.hc	str.hc	strtsb	str.tsb.hc	str.tsb.cs2
DepExp.Str.TSB.hc.2.B	lqd	hc	tsb.hc	str.hc	strtsb	str.tsb.hc	str.tsb.cs2
DepExp.Str.TSB.hc.3.A	lqd	hc	tsb.hc	str.hc	strtsb	str.tsb.hc	str.tsb.cs3
DepExp.Str.TSB.hc.3.B	lqd	hc	tsb.hc	str.hc	strtsb	str.tsb.hc	str.tsb.cs3
DepExp.Unstr.TSB.hc.1.A	lqd	hc	tsb.hc	unstr.hc	unstrtsb	unstr.tsb.hc	unstr.tsb.cs1
DepExp.Unstr.TSB.hc.1.B	lqd	hc	tsb.hc	unstr.hc	unstrtsb	unstr.tsb.hc	unstr.tsb.cs1
DepExp.Unstr.TSB.hc.2.A	lqd	hc	tsb.hc	unstr.hc	unstrtsb	unstr.tsb.hc	unstr.tsb.cs2
DepExp.Unstr.TSB.hc.2.B	lqd	hc	tsb.hc	unstr.hc	unstrtsb	unstr.tsb.hc	unstr.tsb.cs2
DepExp.Unstr.TSB.hc.3.A	lqd	hc	tsb.hc	unstr.hc	unstrtsb	unstr.tsb.hc	unstr.tsb.cs3
DepExp.Unstr.TSB.hc.3.B	lqd	hc	tsb.hc	unstr.hc	unstrtsb	unstr.tsb.hc	unstr.tsb.cs3
